row,col,text,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,0,RM,128.0,256.000512,163.2,278.4
0,1,18,128.0,281.599488,163.2,304.000512
0,2,2R,128.0,319.999488,163.2,339.199488
0,3,3R,128.0,345.6,163.2,371.200512
0,4,4B,128.0,384.0,163.2,403.20000000000005
0,5,SA,128.0,409.600512,163.2,432.0
0,6,6B,128.0,448.000512,163.2,467.200512
0,7,7B,128.0,473.59948800000006,166.4,499.20000000000005
0,8,8B,128.0,511.999488,166.4,531.199488
0,9,9E,128.0,537.5999999999999,169.6,559.9994879999999
0,10,10B,128.0,576.0,169.6,598.399488
0,11,12B,128.0,640.0005120000001,169.6,662.4000000000001
0,12,165,128.0,768.0,169.6,790.399488
0,13,178,128.0,806.4000000000001,169.6,816.0
0,14,118,128.0,601.600512,172.8,627.199488
0,15,13E,128.0,665.5994880000001,172.8,688.0005120000001
0,16,148,128.0,703.9994879999999,172.8,726.4005119999999
0,17,15B,128.0,729.5999999999999,172.8,755.200512
0,18,18A,128.0,832.0005120000001,172.8,854.4000000000001
0,19,19E,128.0,857.599488,172.8,880.0005120000001
0,20,208,128.0,895.9994879999999,176.0,918.400512
0,21,21B,128.0,921.5999999999999,176.0,943.9994879999999
0,22,$8243,166.4,345.6,291.201024,371.200512
0,23,***,179.2,256.000512,291.201024,278.4
0,24,90445,179.2,281.599488,291.201024,313.600512
0,25,B&SY,179.2,319.999488,291.201024,342.400512
0,26,4045-1,179.2,384.0,291.201024,406.399488
0,27,$406-S,179.2,448.000512,291.201024,470.40000000000003
0,28,$118.3,179.2,511.999488,291.201024,534.4005119999999
0,29,603243,179.2,537.5999999999999,291.201024,563.200512
0,30,K14-X,179.2,576.0,291.201024,598.399488
0,31,5436.5,179.2,640.0005120000001,291.201024,662.4000000000001
0,32,6944.7,179.2,409.600512,294.4,435.199488
0,33,4.93 6,179.2,473.59948800000006,294.4,499.20000000000005
0,34,(8.2.5,179.2,601.600512,294.4,630.4005119999999
0,35,4466.4,179.2,703.9994879999999,294.4,726.4005119999999
0,36,6953.4,179.2,729.5999999999999,294.4,761.5994880000001
0,37,38263,179.2,665.5994880000001,297.601024,697.600512
0,38,4.78,179.2,768.0,297.601024,790.399488
0,39,34675,179.2,793.600512,300.8,825.5999999999999
0,40,7Y01-2,179.2,832.0005120000001,300.8,854.4000000000001
0,41,6985-6,179.2,857.599488,304.001024,886.399488
0,42,3633,179.2,895.9994879999999,304.001024,918.400512
0,43,545,179.2,921.5999999999999,304.001024,947.2005119999999
0,44,WE (M2X18),307.2,256.000512,419.201024,278.4
0,45,333,307.2,281.599488,419.201024,307.20000000000005
0,46,304.6,307.2,319.999488,419.201024,339.199488
0,47,859,307.2,345.6,419.201024,367.999488
0,48,2350*2,307.2,384.0,419.201024,403.20000000000005
0,49,287,307.2,409.600512,419.201024,432.0
0,50,1337,307.2,435.199488,419.201024,467.200512
0,51,1848,307.2,473.59948800000006,419.201024,496.000512
0,52,936.5,307.2,499.20000000000005,419.201024,534.4005119999999
0,53,1266 X,307.2,537.5999999999999,419.201024,559.9994879999999
0,54,L6SY X,307.2,576.0,419.201024,598.399488
0,55,1490,307.2,601.600512,422.4,627.199488
0,56,2673.6,307.2,640.0005120000001,422.4,662.4000000000001
0,57,940.6,307.2,665.5994880000001,422.4,691.2
0,58,24,307.2,703.9994879999999,425.601024,726.4005119999999
0,59,(227,307.2,729.5999999999999,425.601024,758.4000000000001
0,60,1600,307.2,768.0,425.601024,790.399488
0,61,1390,307.2,793.600512,425.601024,819.199488
0,62,385.5,307.2,857.599488,425.601024,886.399488
0,63,49,307.2,921.5999999999999,425.601024,947.2005119999999
0,64,1957,307.2,832.0005120000001,428.8,854.4000000000001
0,65,2669,307.2,895.9994879999999,428.8,918.400512
0,66,REF (M3X($),435.2,243.199488,547.201024,271.999488
0,67,CASHIER,435.2,281.599488,547.201024,304.000512
0,68,L,435.2,307.20000000000005,547.201024,339.199488
0,69,-,435.2,345.6,547.201024,367.999488
0,70,CASHIER,435.2,409.600512,547.201024,432.0
0,71,.,435.2,435.199488,547.201024,463.999488
0,72,AMOUNT,435.2,473.59948800000006,547.201024,496.000512
0,73,.,435.2,371.200512,550.4,400.000512
0,74,-,435.2,499.20000000000005,550.4,528.0
0,75,CASHIER,435.2,537.5999999999999,553.598976,559.9994879999999
0,76,-,435.2,563.200512,553.598976,595.2
0,77,CASHIER,435.2,665.5994880000001,553.598976,688.0005120000001
0,78,-,435.2,703.9994879999999,553.598976,726.4005119999999
0,79,1,435.2,601.600512,556.8,624.0
0,80,.,435.2,640.0005120000001,556.8,662.4000000000001
0,81,.,435.2,729.5999999999999,556.8,758.4000000000001
0,82,.,435.2,768.0,556.8,790.399488
0,83,.,435.2,793.600512,556.8,822.400512
0,84,CASHIER,435.2,832.0005120000001,556.8,854.4000000000001
0,85,.,435.2,857.599488,556.8,889.600512
0,86,.,435.2,895.9994879999999,556.8,918.400512
0,87,.,435.2,921.5999999999999,556.8,950.4000000000001
0,88,A*###(POS),550.4,243.199488,675.201024,268.79999999999995
0,89,93725,563.2,268.79999999999995,675.201024,304.000512
0,90,86/0.8,563.2,307.20000000000005,675.201024,332.800512
0,91,78.79,563.2,332.800512,675.201024,364.79999999999995
0,92,6443 2,563.2,371.200512,675.201024,393.59999999999997
0,93,123212,563.2,409.600512,675.201024,432.0
0,94,6743-5,563.2,435.199488,675.201024,460.79999999999995
0,95,6.5386,563.2,473.59948800000006,675.201024,496.000512
0,96,BOPK.S,563.2,499.20000000000005,675.201024,524.800512
0,97,6&07.6,563.2,563.200512,675.201024,592.0005120000001
0,98,3338,563.2,537.5999999999999,678.4,559.9994879999999
0,99,73625,563.2,601.600512,678.4,624.0
0,100,8.10-T,563.2,627.199488,684.8,655.9994879999999
